기간	자치구	동	합계	합계	합계	지체	지체	지체	뇌병변	뇌병변	뇌병변	시각	시각	시각	청각	청각	청각	언어	언어	언어	지적장애	지적장애	지적장애	자폐성	자폐성	자폐성	정신장애	정신장애	정신장애	신장장애	신장장애	신장장애	심장장애	심장장애	심장장애	호흡기	호흡기	호흡기	간	간	간	안면	안면	안면	장루요루	장루요루	장루요루	뇌전증	뇌전증	뇌전증
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2020	중구	광희동	250	151	99	128	77	51	24	18	6	34	20	14	30	13	17	1	0	1	11	7	4	1	1	0	6	3	3	10	9	1	0	0	0	1	0	1	3	2	1	0	0	0	0	0	0	1	1	0
2020	중구	을지로동	87	66	21	48	38	10	7	5	2	11	8	3	13	8	5	0	0	0	0	0	0	0	0	0	3	3	0	3	2	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0
2020	중구	신당5동	495	292	203	242	132	110	41	31	10	49	32	17	70	41	29	4	4	0	29	17	12	4	3	1	24	14	10	21	10	11	1	0	1	4	3	1	1	1	0	0	0	0	1	1	0	4	3	1
2020	중구	황학동	499	304	195	232	125	107	65	50	15	51	38	13	65	35	30	2	2	0	22	14	8	9	7	2	15	10	5	22	11	11	1	0	1	3	3	0	4	3	1	0	0	0	8	6	2	0	0	0
2020	중구	중림동	534	321	213	228	136	92	56	31	25	69	36	33	80	52	28	4	2	2	22	12	10	10	8	2	32	21	11	23	16	7	0	0	0	0	0	0	3	2	1	0	0	0	4	3	1	3	2	1
2020	중구	신당동	390	241	149	187	107	80	42	28	14	46	32	14	41	27	14	2	2	0	25	14	11	6	5	1	16	11	5	16	8	8	1	1	0	2	2	0	2	2	0	0	0	0	3	2	1	1	0	1
2020	중구	다산동	653	341	312	294	142	152	48	25	23	87	56	31	117	59	58	4	3	1	28	15	13	9	8	1	25	10	15	25	12	13	4	1	3	3	3	0	5	4	1	0	0	0	3	2	1	1	1	0
2020	중구	약수동	892	474	418	379	191	188	89	54	35	115	56	59	155	84	71	2	1	1	51	26	25	11	10	1	31	17	14	35	17	18	4	4	0	5	4	1	6	5	1	2	1	1	5	3	2	2	1	1
2020	중구	청구동	634	361	273	286	160	126	57	40	17	77	39	38	93	51	42	5	5	0	43	26	17	5	3	2	26	15	11	28	14	14	0	0	0	2	2	0	5	2	3	1	0	1	4	3	1	2	1	1
2020	중구	동화동	440	244	196	209	94	115	51	28	23	38	29	9	61	41	20	5	4	1	19	13	6	13	6	7	12	7	5	16	9	7	2	2	0	4	3	1	4	4	0	0	0	0	3	2	1	3	2	1
