기간	자치구	동	합계	합계	합계	지체	지체	지체	뇌병변	뇌병변	뇌병변	시각	시각	시각	청각	청각	청각	언어	언어	언어	지적장애	지적장애	지적장애	자폐성	자폐성	자폐성	정신장애	정신장애	정신장애	신장장애	신장장애	신장장애	심장장애	심장장애	심장장애	호흡기	호흡기	호흡기	간	간	간	안면	안면	안면	장루요루	장루요루	장루요루	뇌전증	뇌전증	뇌전증
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2020	중랑구	중화1동	889	540	349	417	239	178	83	52	31	84	55	29	132	78	54	6	5	1	63	42	21	12	10	2	27	17	10	45	28	17	6	3	3	6	3	3	1	1	0	0	0	0	4	4	0	3	3	0
2020	중랑구	중화2동	1,522	891	631	734	416	318	151	97	54	154	84	70	183	114	69	11	8	3	90	53	37	18	13	5	66	37	29	78	45	33	4	4	0	5	4	1	5	4	1	2	0	2	19	10	9	2	2	0
2020	중랑구	묵1동	1,486	865	621	695	394	301	149	97	52	158	91	67	214	125	89	11	8	3	96	61	35	18	14	4	52	24	28	55	29	26	3	2	1	3	2	1	10	5	5	0	0	0	15	9	6	7	4	3
2020	중랑구	묵2동	915	526	389	425	250	175	98	54	44	89	56	33	118	57	61	6	5	1	62	39	23	14	13	1	34	14	20	44	22	22	2	1	1	5	4	1	7	5	2	1	0	1	5	4	1	5	2	3
2020	중랑구	망우3동	965	562	403	464	278	186	96	63	33	102	67	35	117	59	58	8	7	1	64	33	31	10	7	3	40	17	23	37	20	17	2	2	0	4	3	1	6	2	4	2	0	2	9	4	5	4	0	4
2020	중랑구	신내1동	1,923	1,034	889	901	456	445	251	133	118	174	91	83	238	133	105	14	10	4	129	88	41	20	17	3	53	21	32	94	52	42	1	0	1	14	13	1	13	7	6	2	1	1	12	9	3	7	3	4
2020	중랑구	신내2동	1,458	810	648	667	360	307	165	90	75	122	62	60	159	88	71	13	5	8	109	81	28	21	17	4	91	43	48	69	40	29	3	3	0	14	10	4	9	5	4	2	0	2	8	5	3	6	1	5
2020	중랑구	면목본동	1,750	1,023	727	890	510	380	181	105	76	178	114	64	182	103	79	19	15	4	106	70	36	15	13	2	73	32	41	64	33	31	2	2	0	11	8	3	4	3	1	1	1	0	18	10	8	6	4	2
2020	중랑구	면목3.8동	1,319	780	539	626	358	268	128	85	43	151	88	63	162	98	64	17	14	3	66	39	27	14	10	4	52	30	22	70	38	32	5	3	2	10	7	3	2	2	0	2	1	1	8	7	1	6	0	6
2020	중랑구	망우본동	1,739	1,019	720	823	467	356	197	106	91	171	115	56	212	121	91	14	10	4	103	59	44	19	15	4	70	42	28	73	43	30	9	7	2	9	8	1	14	8	6	1	1	0	16	11	5	8	6	2
2020	성북구	소계	17,490	9,989	7,501	7,851	4,323	3,528	1,801	1,054	747	1,935	1,148	787	2,545	1,412	1,133	160	118	42	1,087	673	414	220	188	32	647	334	313	787	447	340	36	27	9	90	65	25	141	92	49	17	9	8	120	72	48	53	27	26
2020	성북구	돈암1동	622	331	291	282	127	155	61	41	20	74	42	32	107	65	42	1	1	0	25	15	10	10	8	2	17	8	9	26	11	15	0	0	0	3	1	2	9	7	2	0	0	0	6	5	1	1	0	1
2020	성북구	돈암2동	689	386	303	286	150	136	77	39	38	74	47	27	112	61	51	6	5	1	33	19	14	16	16	0	22	13	9	39	20	19	3	2	1	4	3	1	7	5	2	0	0	0	8	5	3	2	1	1
2020	성북구	안암동	579	348	231	237	133	104	71	48	23	61	36	25	65	34	31	7	6	1	69	46	23	11	10	1	19	9	10	25	15	10	1	1	0	4	3	1	2	2	0	2	1	1	3	2	1	2	2	0
2020	성북구	보문동	602	336	266	276	138	138	64	39	25	70	44	26	78	46	32	7	6	1	27	18	9	6	5	1	23	12	11	33	15	18	2	1	1	4	3	1	3	3	0	0	0	0	6	4	2	3	2	1
2020	성북구	정릉1동	680	373	307	311	168	143	60	35	25	82	43	39	109	53	56	7	5	2	38	28	10	11	10	1	22	8	14	24	12	12	1	1	0	1	0	1	9	7	2	0	0	0	5	3	2	0	0	0
2020	성북구	정릉2동	975	568	407	420	239	181	107	60	47	103	62	41	140	82	58	9	8	1	65	36	29	13	11	2	39	22	17	49	31	18	3	3	0	7	4	3	7	4	3	1	1	0	7	3	4	5	2	3
2020	성북구	정릉3동	734	426	308	340	177	163	79	46	33	74	50	24	105	58	47	1	1	0	47	35	12	9	6	3	27	19	8	38	23	15	1	1	0	5	5	0	4	3	1	0	0	0	2	1	1	2	1	1
2020	성북구	정릉4동	1,044	598	446	485	261	224	114	75	39	112	66	46	139	84	55	11	8	3	60	33	27	10	8	2	41	23	18	42	22	20	1	1	0	5	3	2	11	7	4	2	1	1	7	3	4	4	3	1
2020	성북구	길음1동	1,036	580	456	441	231	210	105	56	49	117	65	52	165	99	66	13	7	6	72	51	21	19	16	3	29	14	15	50	23	27	1	1	0	4	3	1	13	10	3	0	0	0	4	3	1	3	1	2
2020	성북구	길음2동	605	343	262	286	155	131	63	37	26	53	27	26	94	53	41	5	5	0	34	25	9	7	6	1	16	6	10	31	20	11	0	0	0	2	1	1	6	5	1	1	1	0	5	2	3	2	0	2
2020	성북구	월곡1동	1,178	672	506	520	279	241	128	74	54	123	69	54	170	105	65	13	10	3	81	53	28	15	14	1	52	25	27	48	30	18	0	0	0	4	3	1	13	7	6	4	2	2	4	1	3	3	0	3
2020	성북구	월곡2동	903	522	381	459	265	194	97	51	46	89	57	32	116	69	47	4	2	2	43	27	16	4	1	3	32	13	19	40	23	17	1	1	0	3	3	0	5	3	2	1	1	0	6	4	2	3	2	1
2020	성북구	장위1동	1,089	603	486	470	262	208	102	60	42	122	72	50	153	77	76	12	10	2	88	48	40	7	6	1	55	21	34	49	29	20	4	4	0	6	4	2	10	5	5	1	0	1	6	3	3	4	2	2
2020	성북구	장위2동	719	411	308	322	183	139	69	40	29	66	43	23	105	47	58	9	7	2	57	38	19	6	5	1	38	23	15	29	16	13	3	2	1	1	0	1	4	1	3	1	0	1	9	6	3	0	0	0
2020	성북구	장위3동	674	417	257	319	190	129	70	39	31	83	58	25	81	55	26	7	4	3	42	21	21	7	5	2	18	12	6	29	20	9	0	0	0	2	2	0	5	3	2	0	0	0	7	5	2	4	3	1
2020	성북구	성북동	575	336	239	225	125	100	60	28	32	74	52	22	96	54	42	6	6	0	44	25	19	14	10	4	14	9	5	24	14	10	0	0	0	5	4	1	7	5	2	0	0	0	3	1	2	3	3	0
2020	성북구	삼선동	860	488	372	378	212	166	101	64	37	92	45	47	118	57	61	7	5	2	48	29	19	14	13	1	44	27	17	37	21	16	2	1	1	9	7	2	3	3	0	1	1	0	4	2	2	2	1	1
2020	성북구	동선동	560	321	239	231	128	103	49	31	18	97	54	43	82	44	38	3	2	1	30	23	7	6	6	0	24	9	15	23	14	9	2	1	1	4	3	1	3	1	2	2	1	1	4	4	0	0	0	0
2020	성북구	종암동	1,595	908	687	725	418	307	165	95	70	153	86	67	264	131	133	16	11	5	87	51	36	26	23	3	53	30	23	71	44	27	8	5	3	4	3	1	8	4	4	1	0	1	8	4	4	6	3	3
2020	성북구	석관동	1,771	1,022	749	838	482	356	159	96	63	216	130	86	246	138	108	16	9	7	97	52	45	9	9	0	62	31	31	80	44	36	3	2	1	13	10	3	12	7	5	0	0	0	16	11	5	4	1	3
2020	강북구	소계	17,441	9,919	7,522	7,690	4,272	3,418	1,745	1,054	691	1,940	1,076	864	2,664	1,488	1,176	145	100	45	1,225	712	513	163	143	20	740	373	367	728	430	298	35	22	13	101	78	23	85	55	30	6	2	4	125	83	42	49	31	18
2020	강북구	번1동	995	617	378	468	285	183	93	61	32	113	67	46	161	106	55	5	4	1	52	30	22	3	3	0	39	20	19	42	26	16	1	1	0	8	7	1	3	3	0	0	0	0	6	3	3	1	1	0
2020	강북구	번2동	1,354	743	611	572	315	257	137	87	50	137	75	62	202	99	103	15	10	5	106	57	49	13	11	2	72	35	37	55	28	27	5	2	3	14	12	2	6	3	3	1	0	1	13	7	6	6	2	4
2020	강북구	번3동	2,029	1,114	915	888	469	419	223	132	91	188	110	78	271	144	127	14	8	6	151	78	73	8	7	1	141	74	67	90	58	32	7	4	3	24	16	8	8	3	5	0	0	0	7	6	1	9	5	4
2020	강북구	수유1동	1,296	757	539	509	279	230	143	85	58	188	111	77	187	117	70	9	6	3	128	83	45	10	7	3	44	22	22	53	31	22	1	1	0	9	7	2	3	1	2	0	0	0	10	6	4	2	1	1
2020	강북구	수유2동	1,101	609	492	465	238	227	112	75	37	136	66	70	164	92	72	6	5	1	77	46	31	19	19	0	44	15	29	53	35	18	4	2	2	5	4	1	6	4	2	0	0	0	8	6	2	2	2	0
2020	강북구	수유3동	1,110	624	486	506	285	221	101	60	41	124	64	60	161	85	76	9	5	4	71	39	32	16	14	2	53	26	27	51	33	18	1	1	0	3	3	0	2	1	1	0	0	0	6	3	3	6	5	1
2020	강북구	삼양동	1,376	818	558	612	351	261	121	75	46	172	106	66	212	123	89	16	10	6	107	66	41	15	12	3	43	26	17	43	26	17	1	0	1	5	3	2	16	11	5	0	0	0	7	6	1	6	3	3
2020	강북구	미아동	1,175	683	492	513	289	224	113	61	52	123	71	52	222	132	90	9	4	5	60	41	19	8	8	0	44	27	17	53	32	21	3	2	1	4	3	1	6	5	1	2	1	1	12	6	6	3	1	2
2020	강북구	송중동	1,433	835	598	675	370	305	118	75	43	163	86	77	232	149	83	15	13	2	89	51	38	12	11	1	52	30	22	57	38	19	2	2	0	3	0	3	4	2	2	0	0	0	9	6	3	2	2	0
2020	강북구	송천동	1,541	887	654	677	397	280	148	90	58	169	98	71	266	142	124	14	11	3	96	55	41	10	9	1	61	29	32	69	33	36	3	3	0	5	4	1	5	3	2	1	0	1	13	9	4	4	4	0
2020	강북구	삼각산동	1,246	681	565	572	307	265	122	72	50	135	72	63	181	90	91	10	7	3	77	46	31	23	19	4	44	18	26	46	25	21	1	1	0	9	7	2	12	7	5	1	0	1	9	7	2	4	3	1
2020	강북구	우이동	994	556	438	458	246	212	120	63	57	96	55	41	126	68	58	8	4	4	69	40	29	8	8	0	39	23	16	42	26	16	4	1	3	6	6	0	8	7	1	0	0	0	9	8	1	1	1	0
2020	강북구	인수동	1,791	995	796	775	441	334	194	118	76	196	95	101	279	141	138	15	13	2	142	80	62	18	15	3	64	28	36	74	39	35	2	2	0	6	6	0	6	5	1	1	1	0	16	10	6	3	1	2
2020	도봉구	소계	15,436	8,982	6,454	6,718	3,796	2,922	1,672	976	696	1,635	1,004	631	2,264	1,259	1,005	119	81	38	1,117	704	413	179	151	28	647	355	292	696	406	290	38	28	10	66	48	18	94	56	38	17	10	7	131	79	52	43	29	14
2020	도봉구	쌍문1동	1,123	634	489	479	258	221	112	64	48	134	87	47	154	84	70	13	4	9	83	49	34	13	12	1	46	25	21	53	26	27	5	4	1	6	5	1	10	5	5	1	0	1	12	9	3	2	2	0
2020	도봉구	쌍문2동	949	567	382	403	244	159	103	54	49	111	65	46	140	80	60	4	3	1	70	51	19	16	14	2	37	23	14	39	17	22	4	4	0	6	4	2	3	2	1	1	0	1	8	4	4	4	2	2
2020	도봉구	쌍문3동	828	455	373	359	184	175	68	39	29	97	62	35	134	75	59	7	6	1	64	29	35	9	8	1	35	16	19	36	24	12	2	2	0	4	3	1	6	4	2	1	0	1	5	3	2	1	0	1
2020	도봉구	쌍문4동	688	380	308	310	156	154	55	34	21	69	41	28	102	53	49	4	2	2	57	33	24	14	13	1	16	5	11	41	28	13	0	0	0	1	0	1	8	8	0	0	0	0	8	4	4	3	3	0
2020	도봉구	방학1동	1,502	920	582	663	400	263	172	108	64	143	89	54	231	138	93	8	6	2	101	59	42	18	16	2	56	32	24	71	45	26	3	3	0	9	7	2	7	4	3	0	0	0	14	8	6	6	5	1
2020	도봉구	방학2동	1,234	734	500	532	326	206	120	77	43	133	85	48	155	88	67	16	11	5	104	59	45	9	6	3	73	29	44	55	31	24	1	0	1	6	5	1	7	2	5	4	3	1	11	7	4	8	5	3
2020	도봉구	방학3동	1,040	604	436	464	251	213	155	92	63	90	62	28	150	78	72	12	7	5	67	52	15	10	10	0	31	16	15	43	23	20	0	0	0	5	4	1	9	7	2	0	0	0	1	1	0	3	1	2
2020	도봉구	창1동	1,013	576	437	433	234	199	115	64	51	106	64	42	167	89	78	3	2	1	57	40	17	14	11	3	46	30	16	50	29	21	4	3	1	2	0	2	5	2	3	1	1	0	9	6	3	1	1	0
2020	도봉구	창2동	1,329	776	553	591	333	258	140	95	45	151	85	66	199	107	92	10	9	1	87	49	38	8	6	2	52	34	18	60	37	23	3	2	1	4	4	0	8	4	4	1	1	0	10	7	3	5	3	2
2020	도봉구	창3동	784	475	309	357	205	152	92	49	43	83	57	26	94	58	36	7	5	2	62	44	18	12	10	2	31	18	13	32	21	11	3	2	1	2	1	1	2	0	2	1	0	1	5	4	1	1	1	0
2020	도봉구	창4동	1,001	549	452	423	232	191	115	58	57	108	59	49	154	83	71	7	6	1	67	43	24	13	11	2	34	20	14	52	27	25	0	0	0	6	2	4	7	3	4	2	1	1	11	3	8	2	1	1
2020	도봉구	창5동	997	584	413	411	231	180	123	70	53	112	66	46	159	87	72	6	4	2	66	43	23	14	13	1	44	27	17	34	21	13	3	3	0	4	4	0	7	6	1	2	2	0	9	5	4	3	2	1
2020	도봉구	도봉1동	1,481	873	608	617	353	264	145	86	59	144	89	55	213	128	85	11	7	4	143	93	50	15	10	5	98	55	43	65	36	29	6	4	2	4	2	2	5	2	3	2	1	1	12	6	6	1	1	0
2020	도봉구	도봉2동	1,467	855	612	676	389	287	157	86	71	154	93	61	212	111	101	11	9	2	89	60	29	14	11	3	48	25	23	65	41	24	4	1	3	7	7	0	10	7	3	1	1	0	16	12	4	3	2	1
2020	노원구	소계	27,312	15,038	12,274	11,819	6,397	5,422	2,911	1,640	1,271	2,775	1,547	1,228	3,588	1,838	1,750	248	168	80	2,296	1,359	937	386	317	69	1,496	707	789	1,105	644	461	93	62	31	151	102	49	111	79	32	32	17	15	187	107	80	114	54	60
2020	노원구	월계1동	1,026	588	438	466	244	222	99	62	37	98	48	50	159	99	60	10	7	3	71	49	22	15	14	1	33	14	19	46	30	16	4	2	2	2	2	0	5	5	0	1	1	0	12	8	4	5	3	2
2020	노원구	월계2동	2,298	1,284	1,014	986	550	436	232	133	99	204	117	87	298	151	147	17	11	6	189	115	74	31	22	9	196	102	94	86	46	40	7	4	3	18	15	3	5	4	1	3	1	2	17	9	8	9	4	5
2020	노원구	월계3동	1,962	1,061	901	861	459	402	195	110	85	209	118	91	264	129	135	24	16	8	146	98	48	15	14	1	113	46	67	79	44	35	4	1	3	14	5	9	10	7	3	1	1	0	16	10	6	11	3	8
2020	노원구	공릉2동	1,353	755	598	615	338	277	159	91	68	146	81	65	167	85	82	11	7	4	92	56	36	21	18	3	48	19	29	61	43	18	4	2	2	5	1	4	5	3	2	3	2	1	12	8	4	4	1	3
2020	노원구	하계1동	2,126	1,132	994	847	439	408	206	108	98	193	115	78	266	119	147	16	11	5	285	166	119	33	26	7	171	84	87	71	41	30	4	3	1	17	10	7	1	1	0	4	3	1	5	2	3	7	4	3
2020	노원구	하계2동	993	528	465	409	213	196	113	59	54	109	56	53	133	57	76	13	11	2	80	44	36	20	16	4	40	22	18	58	37	21	0	0	0	6	3	3	4	3	1	0	0	0	5	5	0	3	2	1
2020	노원구	중계본동	810	450	360	369	205	164	94	53	41	59	33	26	97	48	49	7	5	2	88	44	44	19	15	4	20	12	8	33	16	17	2	2	0	5	3	2	9	9	0	1	0	1	4	4	0	3	1	2
2020	노원구	중계1동	729	400	329	349	183	166	69	45	24	69	40	29	94	46	48	7	3	4	45	26	19	24	19	5	23	9	14	30	17	13	4	2	2	6	5	1	6	4	2	1	1	0	1	0	1	1	0	1
2020	노원구	중계4동	1,529	833	696	620	337	283	167	110	57	155	73	82	216	106	110	13	7	6	121	67	54	15	14	1	133	69	64	57	36	21	3	1	2	10	7	3	3	1	2	1	0	1	6	2	4	9	3	6
2020	노원구	상계1동	1,906	1,064	842	796	445	351	202	114	88	241	145	96	234	122	112	16	13	3	191	90	101	30	24	6	65	28	37	82	50	32	4	3	1	8	7	1	17	12	5	1	1	0	15	7	8	4	3	1
2020	노원구	상계2동	891	515	376	372	217	155	102	53	49	89	51	38	123	69	54	11	8	3	83	57	26	12	11	1	44	21	23	34	15	19	5	4	1	2	2	0	3	3	0	0	0	0	8	3	5	3	1	2
2020	노원구	상계5동	1,312	753	559	560	300	260	141	83	58	141	91	50	177	100	77	12	6	6	109	74	35	15	11	4	72	33	39	48	31	17	7	5	2	7	6	1	9	7	2	0	0	0	8	2	6	6	4	2
2020	노원구	상계8동	711	375	336	319	166	153	75	35	40	95	53	42	97	53	44	5	4	1	37	25	12	14	9	5	35	13	22	23	11	12	2	1	1	1	0	1	1	0	1	1	0	1	3	2	1	3	3	0
2020	노원구	상계9동	760	425	335	317	170	147	93	49	44	75	44	31	117	69	48	3	1	2	55	38	17	15	13	2	26	8	18	35	19	16	5	5	0	2	1	1	5	1	4	3	2	1	7	5	2	2	0	2
2020	노원구	상계10동	538	296	242	213	112	101	59	33	26	48	25	23	84	43	41	9	6	3	45	28	17	14	14	0	23	12	11	27	14	13	1	0	1	1	0	1	6	4	2	1	0	1	4	3	1	3	2	1
2020	노원구	상계3.4동	1,647	922	725	712	402	310	192	113	79	179	97	82	238	120	118	12	7	5	122	77	45	13	11	2	62	27	35	68	40	28	13	8	5	7	2	5	9	7	2	1	0	1	9	6	3	10	5	5
2020	노원구	상계6.7동	1,282	688	594	571	310	261	140	67	73	151	83	68	165	82	83	10	9	1	101	59	42	22	18	4	42	18	24	48	24	24	2	1	1	7	6	1	4	2	2	2	0	2	14	8	6	3	1	2
2020	노원구	중계2.3동	3,205	1,716	1,489	1,395	733	662	367	203	164	310	157	153	376	187	189	34	25	9	275	161	114	36	29	7	233	114	119	111	64	47	14	11	3	19	14	5	3	2	1	5	3	2	16	8	8	11	5	6
2020	노원구	공릉1동	2,234	1,253	981	1,042	574	468	206	119	87	204	120	84	283	153	130	18	11	7	161	85	76	22	19	3	117	56	61	108	66	42	8	7	1	14	13	1	6	4	2	3	2	1	25	15	10	17	9	8
2020	은평구	소계	21,773	12,745	9,028	9,010	4,962	4,048	2,236	1,362	874	2,358	1,409	949	3,235	1,777	1,458	173	126	47	1,786	1,174	612	333	280	53	1,162	726	436	882	541	341	55	30	25	130	97	33	154	107	47	24	13	11	167	105	62	68	36	32
2020	은평구	녹번동	1,635	945	690	723	393	330	150	84	66	184	124	60	278	146	132	19	14	5	104	69	35	15	12	3	58	34	24	65	43	22	1	0	1	5	3	2	12	9	3	3	3	0	15	9	6	3	2	1
2020	은평구	불광1동	1,701	945	756	711	379	332	160	87	73	209	126	83	280	152	128	18	13	5	90	53	37	26	22	4	77	39	38	83	49	34	2	2	0	9	8	1	17	7	10	1	1	0	13	5	8	5	2	3
2020	은평구	갈현1동	1,067	632	435	445	251	194	105	68	37	127	80	47	151	86	65	5	3	2	77	49	28	12	10	2	69	37	32	48	27	21	1	1	0	7	4	3	9	8	1	0	0	0	9	7	2	2	1	1
2020	은평구	갈현2동	1,235	721	514	524	295	229	117	67	50	136	93	43	184	110	74	19	13	6	94	55	39	16	12	4	61	23	38	58	35	23	4	1	3	6	6	0	9	7	2	0	0	0	4	2	2	3	2	1
2020	은평구	구산동	2,248	1,596	652	673	405	268	228	172	56	152	96	56	239	139	100	14	10	4	427	334	93	37	32	5	336	299	37	63	45	18	3	2	1	33	26	7	10	9	1	2	1	1	24	21	3	7	5	2
2020	은평구	대조동	1,251	709	542	541	281	260	133	83	50	160	87	73	194	115	79	7	6	1	66	46	20	10	8	2	57	32	25	57	35	22	5	2	3	5	4	1	5	3	2	0	0	0	7	5	2	4	2	2
2020	은평구	응암1동	1,281	702	579	567	311	256	148	86	62	140	79	61	205	98	107	8	5	3	64	36	28	12	11	1	52	28	24	50	25	25	8	4	4	5	5	0	11	6	5	0	0	0	8	7	1	3	1	2
2020	은평구	응암2동	942	542	400	394	219	175	102	60	42	98	54	44	139	72	67	7	6	1	63	40	23	21	15	6	43	29	14	41	26	15	3	2	1	6	5	1	7	4	3	2	0	2	11	6	5	5	4	1
2020	은평구	신사1동	1,236	729	507	528	301	227	119	68	51	155	87	68	174	102	72	8	5	3	118	78	40	20	16	4	48	31	17	38	26	12	0	0	0	4	2	2	7	6	1	3	1	2	10	5	5	4	1	3
2020	은평구	신사2동	970	574	396	431	237	194	89	55	34	89	53	36	138	84	54	6	5	1	90	56	34	17	14	3	36	21	15	47	31	16	4	2	2	6	5	1	6	5	1	1	1	0	6	2	4	4	3	1
2020	은평구	증산동	698	392	306	317	163	154	60	34	26	66	44	22	108	63	45	6	4	2	43	27	16	13	12	1	26	8	18	36	21	15	3	2	1	3	3	0	5	4	1	2	0	2	6	4	2	4	3	1
2020	은평구	수색동	564	318	246	239	129	110	64	36	28	72	40	32	78	43	35	3	3	0	46	29	17	7	7	0	19	10	9	23	17	6	1	0	1	2	0	2	6	3	3	1	1	0	3	0	3	0	0	0
2020	은평구	진관동	1,950	1,111	839	832	453	379	239	144	95	220	127	93	288	144	144	9	9	0	125	81	44	58	49	9	53	29	24	71	39	32	7	3	4	6	4	2	21	17	4	2	0	2	15	10	5	4	2	2
2020	은평구	불광2동	1,472	836	636	603	340	263	135	80	55	174	101	73	252	136	116	12	9	3	101	59	42	23	22	1	67	30	37	62	37	25	4	2	2	5	4	1	10	5	5	2	1	1	14	7	7	8	3	5
2020	은평구	응암3동	1,342	782	560	560	310	250	137	88	49	140	78	62	222	123	99	14	10	4	94	61	33	17	13	4	62	32	30	59	44	15	5	3	2	10	6	4	9	5	4	3	2	1	7	6	1	3	1	2
2020	은평구	역촌동	2,181	1,211	970	922	495	427	250	150	100	236	140	96	305	164	141	18	11	7	184	101	83	29	25	4	98	44	54	81	41	40	4	4	0	18	12	6	10	9	1	2	2	0	15	9	6	9	4	5
2020	서대문구	소계	12,551	6,933	5,618	5,451	2,897	2,554	1,387	772	615	1,318	775	543	1,847	962	885	115	81	34	788	501	287	169	144	25	530	268	262	616	330	286	36	22	14	47	31	16	98	65	33	8	5	3	113	63	50	28	17	11
2020	서대문구	천연동	755	406	349	325	163	162	77	48	29	78	47	31	102	51	51	5	3	2	46	25	21	12	10	2	43	20	23	41	22	19	4	3	1	7	6	1	5	3	2	0	0	0	8	4	4	2	1	1
2020	서대문구	홍제1동	945	514	431	403	211	192	97	53	44	109	65	44	146	70	76	8	5	3	77	47	30	14	12	2	31	19	12	43	22	21	2	0	2	1	0	1	10	8	2	0	0	0	3	1	2	1	1	0
2020	서대문구	홍제3동	830	458	372	373	191	182	82	46	36	90	53	37	137	74	63	10	6	4	42	30	12	5	4	1	33	18	15	39	24	15	3	2	1	4	2	2	4	3	1	0	0	0	8	5	3	0	0	0
2020	서대문구	홍제2동	608	331	277	263	128	135	81	50	31	68	36	32	94	51	43	13	11	2	24	15	9	6	6	0	16	7	9	28	17	11	2	1	1	2	1	1	5	4	1	0	0	0	5	4	1	1	0	1
2020	서대문구	홍은1동	1,058	560	498	478	248	230	113	57	56	118	63	55	154	79	75	11	8	3	58	36	22	16	15	1	35	17	18	43	19	24	1	0	1	4	2	2	10	5	5	2	0	2	12	8	4	3	3	0
2020	서대문구	홍은2동	1,225	694	531	522	275	247	132	77	55	125	80	45	152	73	79	11	8	3	91	56	35	20	17	3	68	46	22	74	43	31	3	2	1	3	2	1	10	7	3	1	0	1	12	7	5	1	1	0
2020	서대문구	남가좌1동	511	263	248	232	115	117	73	35	38	47	28	19	69	31	38	4	4	0	27	14	13	10	8	2	14	7	7	22	16	6	0	0	0	3	1	2	3	2	1	0	0	0	4	2	2	3	0	3
2020	서대문구	남가좌2동	1,188	639	549	505	249	256	128	63	65	117	78	39	179	95	84	14	8	6	79	55	24	15	14	1	72	36	36	44	18	26	2	2	0	9	6	3	11	8	3	1	1	0	8	4	4	4	2	2
2020	서대문구	북가좌1동	686	381	305	289	157	132	86	45	41	73	43	30	93	49	44	5	2	3	55	36	19	14	11	3	19	9	10	34	20	14	2	2	0	2	1	1	4	1	3	2	2	0	6	2	4	2	1	1
2020	서대문구	북가좌2동	1,613	909	704	737	411	326	150	92	58	151	85	66	247	134	113	12	7	5	105	68	37	16	12	4	81	31	50	83	49	34	7	3	4	3	3	0	4	2	2	1	1	0	13	9	4	3	2	1
2020	서대문구	충현동	764	452	312	318	206	112	91	51	40	91	59	32	124	49	75	6	5	1	39	27	12	5	5	0	33	18	15	36	17	19	4	3	1	1	1	0	9	5	4	0	0	0	4	3	1	3	3	0
2020	서대문구	북아현동	573	319	254	258	136	122	52	29	23	66	40	26	86	49	37	3	3	0	30	21	9	11	9	2	19	8	11	31	14	17	3	3	0	3	2	1	7	5	2	0	0	0	3	0	3	1	0	1
2020	서대문구	신촌동	482	260	222	185	98	87	58	33	25	50	24	26	69	39	30	4	3	1	32	22	10	10	7	3	22	10	12	35	15	20	1	1	0	2	1	1	2	2	0	0	0	0	11	4	7	1	1	0
2020	서대문구	연희동	1,313	747	566	563	309	254	167	93	74	135	74	61	195	118	77	9	8	1	83	49	34	15	14	1	44	22	22	63	34	29	2	0	2	3	3	0	14	10	4	1	1	0	16	10	6	3	2	1
2020	마포구	소계	12,951	7,291	5,660	5,587	3,047	2,540	1,382	776	606	1,481	872	609	1,879	1,013	866	119	89	30	850	506	344	197	165	32	505	256	249	618	355	263	31	15	16	53	37	16	86	61	25	11	6	5	120	73	47	32	20	12
2020	마포구	용강동	594	332	262	270	142	128	64	42	22	67	41	26	79	42	37	10	8	2	37	20	17	7	7	0	19	11	8	27	13	14	2	0	2	1	1	0	1	1	0	1	0	1	7	3	4	2	1	1
2020	마포구	대흥동	503	281	222	224	113	111	59	37	22	48	28	20	65	42	23	3	3	0	34	16	18	8	8	0	18	10	8	27	14	13	2	1	1	3	2	1	1	1	0	0	0	0	9	4	5	2	2	0
2020	마포구	염리동	409	224	185	167	94	73	40	25	15	58	30	28	63	30	33	3	3	0	25	17	8	5	3	2	21	10	11	15	7	8	1	1	0	0	0	0	4	2	2	1	0	1	4	1	3	2	1	1
2020	마포구	신수동	703	401	302	311	164	147	70	39	31	74	44	30	108	65	43	8	5	3	47	33	14	8	5	3	19	12	7	40	22	18	0	0	0	2	1	1	4	3	1	2	2	0	6	3	3	4	3	1
2020	마포구	서교동	686	426	260	308	180	128	63	36	27	94	64	30	96	59	37	6	6	0	43	30	13	11	9	2	19	11	8	30	19	11	0	0	0	1	1	0	8	7	1	0	0	0	6	4	2	1	0	1
2020	마포구	합정동	569	326	243	250	135	115	52	33	19	75	48	27	98	53	45	2	2	0	32	17	15	4	3	1	18	9	9	26	17	9	1	0	1	0	0	0	3	3	0	0	0	0	6	5	1	2	1	1
2020	마포구	망원1동	824	484	340	359	201	158	92	58	34	93	61	32	113	60	53	8	4	4	54	37	17	11	9	2	31	15	16	42	24	18	2	1	1	3	3	0	8	6	2	0	0	0	6	3	3	2	2	0
2020	마포구	망원2동	734	425	309	323	178	145	92	55	37	85	46	39	111	61	50	9	8	1	32	20	12	8	6	2	24	15	9	36	24	12	0	0	0	4	4	0	3	2	1	0	0	0	6	5	1	1	1	0
2020	마포구	연남동	545	300	245	248	114	134	50	28	22	67	41	26	78	44	34	7	6	1	27	17	10	10	10	0	12	8	4	26	19	7	1	0	1	4	3	1	4	3	1	0	0	0	10	6	4	1	1	0
